Element,Ionization Energy (eV),Electron Affinity (eV),Average (eV),Atomic Number,Ratios
H,"13,598434599702","0,754674","7,176554299851",1,"7,176554299851"
He,"24,587389011","-0,52","12,0336945055",2,"6,01684725275"
Li,"5,391714996","0,61804922","3,004882108",3,"1,00162736933333"
Be,"9,322699","-0,52","4,4013495",4,"1,100337375"
B,"8,298019","0,27972325","4,288871125",5,"0,857774225"
C,"11,260288","1,262113612","6,261200806",6,"1,04353346766667"
N,"14,53413","-0,07","7,232065",7,"1,03315214285714"
O,"13,618055","1,4611053","7,53958015",8,"0,94244751875"
F,"17,42282","3,401189824","10,412004912",9,"1,15688943466667"
Ne,"21,564541","-1,22","10,1722705",10,"1,01722705"
Na,"5,13907696","0,54792625","2,843501605",11,"0,258500145909091"
Mg,"7,646236","-0,42","3,613118",12,"0,301093166666667"
Al,"5,985769","0,432835","3,209302",13,"0,246869384615385"
Si,"8,15168","1,38952128","4,77060064",14,"0,340757188571429"
P,"10,486686","0,7466071","5,61664655",15,"0,374443103333333"
S,"10,36001","2,077104512","6,218557256",16,"0,3886598285"
Cl,"12,967633","3,61272528","8,29017914",17,"0,487657596470588"
Ar,"15,7596119","-1,02","7,36980595",18,"0,409433663888889"
K,"4,34066373","0,50145913","2,42106143",19,"0,127424285789474"
Ca,"6,11315547","0,024551","3,068853235",20,"0,15344266175"
Sc,"6,56149","0,1882","3,374845",21,"0,160706904761905"
Ti,"6,82812","0,075545","3,4518325",22,"0,156901477272727"
V,"6,746187","0,527662","3,6369245",23,"0,158127152173913"
Cr,"6,76651","0,6758412","3,7211756",24,"0,155048983333333"
Mn,"7,434038","-0,52","3,457019",25,"0,13828076"
Fe,"7,9024681","0,15323634","4,02785222",26,"0,154917393076923"
Co,"7,88101","0,662265","4,2716375",27,"0,158208796296296"
Ni,"7,639878","1,1571612","4,3985196",28,"0,157089985714286"
Cu,"7,72638","1,235784","4,481082",29,"0,154520068965517"
Zn,"9,394197","-0,62","4,3870985",30,"0,146236616666667"
Ga,"5,999302","0,3012011","3,15025155",31,"0,101621017741936"
Ge,"7,899435","1,232676413","4,5660557065",32,"0,142689240828125"
As,"9,78855","0,80482","5,296685",33,"0,160505606060606"
Se,"9,752392","2,020604712","5,886498356",34,"0,173132304588235"
Br,"11,81381","3,3635883","7,58869915",35,"0,216819975714286"
Kr,"13,9996055","-1,02","6,48980275",36,"0,180272298611111"
Rb,"4,1771281","0,48591621","2,331522155",37,"0,0630141122972973"
Sr,"5,69486745","0,052066","2,873466725",38,"0,0756175453947369"
Y,"6,21726","0,30712","3,26219",39,"0,0836458974358974"
Zr,"6,634126","0,433289","3,5337075",40,"0,0883426875"
Nb,"6,75885","0,917407","3,8381285",41,"0,0936128902439024"
Mo,"7,09243","0,74733","3,91988",42,"0,0933304761904762"
Tc,"7,11938","0,552","3,83569",43,"0,0892020930232558"
Ru,"7,3605","1,0463825","4,20344125",44,"0,0955327556818182"
Rh,"7,4589","1,142892","4,300896",45,"0,0955754666666667"
Pd,"8,336839","0,5621412","4,4494901",46,"0,0967280456521739"
Ag,"7,576234","1,304473","4,4403535",47,"0,0944756063829787"
Cd,"8,99382","-0,72","4,13691",48,"0,086185625"
In,"5,7863557","0,383926","3,08514085",49,"0,0629620581632653"
Sn,"7,343918","1,1120702","4,2279941",50,"0,084559882"
Sb,"8,608389","1,04740119","4,827895095",51,"0,0946646097058824"
Te,"9,009808","1,9708757","5,49034185",52,"0,105583497115385"
I,"10,45126","3,05905238","6,75515619",53,"0,127455777169811"
Xe,"12,1298437","-0,82","5,65492185",54,"0,104720775"
Cs,"3,89390572743","0,47163025","2,182767988715",55,"0,0396866907039091"
Ba,"5,2116646","0,144626","2,6781453",56,"0,0478240232142857"
La,"5,5769","0,5575462","3,0672231",57,"0,0538109315789474"
Ce,"5,5386","0,572","3,0553",58,"0,0526775862068966"
Pr,"5,4702","0,1092346","2,7897173",59,"0,0472833440677966"
Nd,"5,525","0,0974933","2,81124665",60,"0,0468541108333333"
Pm,"5,58187","0,129","2,855435",61,"0,0468104098360656"
Sm,"5,64371","0,162","2,902855",62,"0,0468202419354839"
Eu,"5,670385","0,11613","2,8932575",63,"0,0459247222222222"
Gd,"6,1498","0,137","3,1434",64,"0,049115625"
Tb,"5,8638","0,131318","2,997559",65,"0,0461162923076923"
Dy,"5,93905","0,352","3,145525",66,"0,0476594696969697"
Ho,"6,0215","0,338","3,17975",67,"0,0474589552238806"
Er,"6,1077","0,312","3,20985",68,"0,0472036764705882"
Tm,"6,18431","1,02922","3,606765",69,"0,0522719565217391"
Yb,"6,25416","-0,02","3,11708",70,"0,0445297142857143"
Lu,"5,425871","0,23887","2,8323705",71,"0,0398925422535211"
Hf,"6,82507","0,17807","3,50157",72,"0,0486329166666667"
Ta,"7,549571","0,32312","3,9363455",73,"0,0539225410958904"
W,"7,86403","0,816268","4,340149",74,"0,0586506621621622"
Re,"7,83352","0,06039663","3,946958315",75,"0,0526261108666667"
Os,"8,43823","1,0778013","4,75801565",76,"0,0626054690789474"
Ir,"8,96702","1,5643615","5,26569075",77,"0,0683855941558442"
Pt,"8,95883","2,125105","5,5419675",78,"0,0710508653846154"
Au,"9,225554","2,30861025","5,767082125",79,"0,073001039556962"
Hg,"10,437504","-0,52","4,958752",80,"0,0619844"
Tl,"6,1082873","0,32005319","3,214170245",81,"0,0396811141358025"
Pb,"7,4166799","0,3567212","3,88670055",82,"0,047398787195122"
Bi,"7,285516","0,94236213","4,113939065",83,"0,0495655309036145"
Po,"8,41807","1,407","4,912535",84,"0,0584825595238095"
At,"9,31751","2,415787","5,8666485",85,"0,0690193941176471"
Rn,"10,7485","-0,72","5,01425",86,"0,0583052325581395"
Fr,"4,0727411","0,486","2,27937055",87,"0,0261996614942529"
Ra,"5,2784239","0,1","2,68921195",88,"0,0305592267045455"
Ac,"5,380226","0,35","2,865113",89,"0,0321922808988764"
Th,"6,3067","1,17","3,73835",90,"0,0415372222222222"
Pa,"5,89","0,55","3,22",91,"0,0353846153846154"
U,"6,19405","0,53","3,362025",92,"0,03654375"
Np,"6,26554","0,48","3,37277",93,"0,0362663440860215"
Pu,"6,02576","-0,5","2,76288",94,"0,0293923404255319"
Am,"5,97381","0,1","3,036905",95,"0,0319674210526316"
Cm,"5,99141","0,28","3,135705",96,"0,03266359375"
Bk,"6,19785","-1,72","2,238925",97,"0,0230817010309278"
Cf,"6,28166","-1,01","2,63583",98,"0,0268962244897959"
Es,"6,36758","-0,3","3,03379",99,"0,0306443434343434"
Fm,"6,5","0,35","3,425",100,"0,03425"
Md,"6,58","0,98","3,78",101,"0,0374257425742574"
No,"6,62621","-2,33","2,148105",102,"0,0210598529411765"
Lr,"4,96","-0,31","2,325",103,"0,0225728155339806"
